TypeInput	RA	DE	Plx	e_Plx	RV	e_RV	RVdist	pmRA	e_pmRA	pmDE	e_pmDE	Source
1	05 28 44.479	42 46 37.537	0.24883049	0.0229	0	0	0	1.141	0.030	-2.254	0.019	195454031678082432
1	05 28 35.694	43 44 50.433	0.33180857	0.0155	0	0	0	0.054	0.017	-0.488	0.013	195750796737099648
1	05 26 29.896	42 00 50.774	0.29180507	0.0137	0	0	0	0.075	0.015	-1.499	0.012	195348929537096960
1	05 25 44.041	42 03 38.960	0.38723600	0.0140	0	0	0	0.900	0.017	-0.881	0.014	194990140848877440
1	05 30 55.635	42 42 06.648	0.28212842	0.0290	0	0	0	1.001	0.032	-1.257	0.024	195395452622883840
1	05 25 36.601	43 20 08.690	0.28783195	0.0159	0	0	0	-0.722	0.020	-1.543	0.015	195714792029695744
1	05 23 12.660	42 54 24.265	0.20274351	0.0250	0	0	0	1.505	0.031	-3.100	0.021	195326801864590464
1	05 24 17.511	42 34 18.799	0.32151403	0.0157	0	0	0	0.644	0.023	-1.848	0.016	195246567577509248
1	05 28 39.066	43 07 35.827	0.23314282	0.0146	0	0	0	0.218	0.017	-0.056	0.013	195661946752424576
1	05 27 21.202	42 11 23.127	0.27709208	0.0156	0	0	0	-0.855	0.018	-0.380	0.013	195352395571114752
1	05 22 15.264	42 28 03.928	0.30411347	0.0137	0	0	0	0.439	0.017	-1.468	0.012	195236981210513024
1	05 31 02.094	42 55 19.289	0.36702736	0.0130	0	0	0	0.721	0.016	-4.209	0.012	195412731272584192
1	05 28 57.751	43 05 56.453	0.20119058	0.0160	0	0	0	0.345	0.019	-0.809	0.014	195473341850196224
1	05 30 10.138	42 44 03.534	0.34610277	0.0111	0	0	0	0.616	0.013	-1.148	0.010	195406787037850880
1	05 24 36.765	42 54 22.404	0.35279563	0.0168	0	0	0	1.897	0.017	-1.312	0.014	195317898393170048
1	05 27 51.898	42 26 58.376	0.32915255	0.0173	0	0	0	-0.320	0.018	-1.250	0.014	195376211169053696
1	05 21 12.279	42 56 55.727	0.36296524	0.0130	0	0	0	0.494	0.017	-1.525	0.011	207319789368100480
1	05 26 48.817	43 00 40.498	0.37838610	0.0183	0	0	0	0.616	0.027	-1.721	0.018	195645625876786048
1	05 28 01.397	42 14 59.316	0.34076732	0.0131	0	0	0	-1.425	0.016	-1.814	0.011	195357893129251072
1	05 22 24.662	43 35 19.782	0.25178462	0.0152	0	0	0	0.091	0.019	-0.694	0.015	207416786906277504
1	05 28 16.971	43 38 56.240	0.39904335	0.0170	0	0	0	-2.102	0.018	-5.007	0.013	195737057139878528
1	05 24 31.084	42 26 06.313	0.27836660	0.0232	0	0	0	0.642	0.028	-0.868	0.021	195246915473920640
1	05 25 20.441	43 44 44.812	0.26292664	0.0173	0	0	0	-0.642	0.020	-1.219	0.015	207748049146949248
1	05 30 38.671	43 13 15.128	0.38536436	0.0187	0	0	0	1.595	0.018	-3.637	0.015	195479114286255360
1	05 26 47.896	42 33 57.080	0.34707020	0.0184	0	0	0	-0.393	0.017	-1.723	0.015	195433969888691456
1	05 31 35.441	42 48 19.661	0.25589085	0.0144	0	0	0	0.406	0.018	0.140	0.013	195490040683479808
1	05 24 00.852	42 10 33.476	0.37695023	0.0141	0	0	0	-0.247	0.017	-2.046	0.012	195047147953815040
1	05 28 58.720	42 45 18.083	0.35540642	0.0132	0	0	0	3.280	0.015	1.482	0.011	195451149758220416
1	05 30 04.934	42 24 17.485	0.38310560	0.0148	0	0	0	0.905	0.020	-0.849	0.014	195381738788584960
1	05 24 53.481	42 25 09.596	0.37987392	0.0124	0	0	0	1.813	0.015	0.158	0.011	195058688529917696
1	05 26 30.056	41 59 29.593	0.28113054	0.0131	0	0	0	0.341	0.014	-0.090	0.011	195348860817627392
1	05 23 01.148	42 58 45.440	0.35825024	0.0137	0	0	0	-1.054	0.019	-1.273	0.013	195330989453483520
1	05 22 23.592	42 17 59.212	0.39893087	0.0123	0	0	0	1.522	0.015	-1.449	0.012	195219663902388480
1	05 30 12.053	43 07 39.444	0.24956291	0.0191	0	0	0	-0.092	0.018	-1.950	0.014	195476507244589312
1	05 26 32.158	42 20 38.247	0.36607399	0.0165	0	0	0	0.459	0.021	-1.537	0.016	195415072033316096
1	05 26 53.454	42 30 39.824	0.25176491	0.0178	0	0	0	0.477	0.020	-0.663	0.014	195421493005857536
1	05 31 07.787	42 43 54.231	0.30474805	0.0144	0	0	0	0.026	0.017	-1.322	0.012	195395895000788352
1	05 23 17.042	42 07 46.062	0.32882624	0.0145	0	0	0	1.518	0.016	-4.267	0.011	195048969020008064
1	05 22 36.905	43 06 08.645	0.34321717	0.0138	0	0	0	0.731	0.016	0.736	0.012	207342917768184448
1	05 27 29.759	42 02 35.025	0.37612223	0.0131	0	0	0	-0.174	0.016	-3.222	0.012	195346833592975872
1	05 30 39.244	42 26 30.428	0.26990701	0.0181	0	0	0	0.574	0.020	-0.428	0.015	194637335058274560
1	05 29 13.047	43 05 18.899	0.33513748	0.0156	0	0	0	0.163	0.018	-0.884	0.014	195473857246271872
1	05 23 58.024	42 58 41.435	0.23200952	0.0201	0	0	0	-1.318	0.021	-0.193	0.016	195317142478921344
1	05 25 30.078	43 03 09.883	0.26742840	0.0146	0	0	0	0.027	0.016	-0.457	0.013	195695791094483584
1	05 28 20.197	43 25 45.488	0.32079399	0.0141	0	0	0	1.767	0.017	-2.263	0.013	195683833905213184
1	05 25 01.998	43 48 58.399	0.23277732	0.0181	0	0	0	0.662	0.022	0.156	0.017	207752000516860288
1	05 29 21.768	42 16 11.804	0.36721432	0.0232	0	0	0	0.638	0.024	-3.273	0.020	194628818139075328
1	05 23 53.507	42 40 46.427	0.28125237	0.0129	0	0	0	1.541	0.016	-2.329	0.012	195262888453224320
1	05 22 57.339	42 56 46.960	0.29252782	0.0137	0	0	0	0.083	0.018	-0.239	0.012	195327660854255360
