TypeInput	RA	DE	Plx	e_Plx	RV	e_RV	RVdist	pmRA	e_pmRA	pmDE	e_pmDE	Source
1	05 28 20.197	43 25 45.488	0.32079399	0.0141	0	0	0	1.767	0.017	-2.263	0.013	195683833905213184
1	05 25 01.998	43 48 58.399	0.23277732	0.0181	0	0	0	0.662	0.022	0.156	0.017	207752000516860288
1	05 23 53.507	42 40 46.427	0.28125237	0.0129	0	0	0	1.541	0.016	-2.329	0.012	195262888453224320
1	05 22 57.339	42 56 46.960	0.29252782	0.0137	0	0	0	0.083	0.018	-0.239	0.012	195327660854255360
1	05 30 26.650	43 26 37.209	0.21389119	0.0170	0	0	0	-0.379	0.019	-0.492	0.014	195675823788024704
1	05 28 12.614	42 56 20.883	0.32726984	0.0176	0	0	0	-0.635	0.019	-2.445	0.015	195448778935800960
1	05 30 16.647	42 46 56.547	0.21505180	0.0130	0	0	0	1.019	0.016	-0.472	0.012	195410223011686144
1	05 26 02.272	43 13 15.139	0.30621852	0.0130	0	0	0	5.030	0.015	-2.565	0.012	195702074631177856
1	05 22 43.527	42 44 42.219	0.28902071	0.0149	0	0	0	4.497	0.020	-3.085	0.014	195289723408885248
1	05 23 48.182	43 06 51.436	0.25529860	0.0157	0	0	0	-0.759	0.019	-0.884	0.014	195333398934162560
1	05 23 35.041	43 20 56.909	0.28570705	0.0147	0	0	0	-0.123	0.017	-1.835	0.014	207349961514354432
1	05 29 13.605	42 47 50.653	0.24751171	0.0137	0	0	0	-0.766	0.016	0.087	0.012	195452760367762176
1	05 22 12.564	42 19 38.816	0.24497896	0.0141	0	0	0	0.294	0.017	-1.312	0.013	195230315421281024
1	05 28 45.788	43 28 29.918	0.32905413	0.0150	0	0	0	1.025	0.018	-2.239	0.014	195685654971307008
1	05 23 36.060	43 06 11.331	0.28629815	0.0164	0	0	0	1.246	0.018	-2.154	0.014	195333532074116736
1	05 26 39.946	41 58 48.636	0.27124644	0.0146	0	0	0	0.278	0.016	-1.127	0.013	195345665361952896
1	05 28 38.032	42 28 43.825	0.25234552	0.0174	0	0	0	-0.283	0.020	-0.799	0.016	195374110926649984
1	05 24 17.926	42 07 30.427	0.32647411	0.0153	0	0	0	-0.637	0.018	-1.938	0.013	195035225124601856
1	05 29 58.515	43 01 25.746	0.31434059	0.0178	0	0	0	-0.999	0.023	-1.798	0.016	195463892922989952
1	05 29 19.164	42 28 35.074	0.26315108	0.0170	0	0	0	1.386	0.019	-0.341	0.015	195385110341158912
1	05 29 19.167	43 15 50.849	0.21515853	0.0281	0	0	0	0.420	0.030	-1.803	0.024	195664485074346624
1	05 23 15.980	42 25 07.104	0.31216805	0.0132	0	0	0	0.629	0.017	-2.571	0.013	195243818806188288
1	05 24 22.034	42 12 52.434	0.32599606	0.0171	0	0	0	0.118	0.020	-3.841	0.015	195047628990124800
1	05 29 10.769	43 42 32.551	0.33025493	0.0171	0	0	0	2.030	0.019	-2.627	0.015	195738014916474496
1	05 29 44.337	42 31 44.886	0.31052421	0.0236	0	0	0	1.487	0.028	-2.948	0.021	195387137565676800
1	05 21 52.710	43 07 12.441	0.33165852	0.0176	0	0	0	1.167	0.022	-0.534	0.017	207323190978938368
1	05 28 57.933	42 53 55.130	0.25047386	0.0202	0	0	0	-0.113	0.023	-1.187	0.018	195467466334939008
1	05 23 13.512	42 30 19.424	0.31534521	0.0149	0	0	0	-0.318	0.019	0.936	0.015	195256948516773504
